tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
450,4/1/2016 00:02:57,4/1/2016 00:10:27,312,Allen St & Stanton St,40.722055,-73.989111,2010,Grand St & Greene St,40.72165481,-74.00234737,21306,Subscriber,1983.0,1
116,4/1/2016 00:03:03,4/1/2016 00:05:00,307,Canal St & Rutgers St,40.71427487,-73.98990025,361,Allen St & Hester St,40.71605866,-73.99190759,16239,Subscriber,1988.0,1
186,4/1/2016 00:03:03,4/1/2016 00:06:10,307,Canal St & Rutgers St,40.71427487,-73.98990025,291,Madison St & Montgomery St,40.713126,-73.984844,19746,Subscriber,1965.0,1
258,4/1/2016 00:03:09,4/1/2016 00:07:28,435,W 21 St & 6 Ave,40.74173969,-73.99415556,462,W 22 St & 10 Ave,40.74691959,-74.00451887,23152,Subscriber,1983.0,1
217,4/1/2016 00:03:12,4/1/2016 00:06:50,249,Harrison St & Hudson St,40.71870987,-74.0090009,328,Watts St & Greenwich St,40.72405549,-74.00965965,21012,Subscriber,1984.0,1
454,4/1/2016 00:03:15,4/1/2016 00:10:49,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,317,E 6 St & Avenue B,40.72453734,-73.98185424,19612,Subscriber,1989.0,1
1467,4/1/2016 00:03:21,4/1/2016 00:27:49,237,E 11 St & 2 Ave,40.73047309,-73.98672378,508,W 46 St & 11 Ave,40.76341379,-73.99667444,21166,Subscriber,1983.0,2
380,4/1/2016 00:03:45,4/1/2016 00:10:06,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,527,E 33 St & 2 Ave,40.744023,-73.976056,16813,Subscriber,1991.0,1
347,4/1/2016 00:04:04,4/1/2016 00:09:51,2010,Grand St & Greene St,40.72165481,-74.00234737,355,Bayard St & Baxter St,40.71602118,-73.99974372,21403,Subscriber,1975.0,1
222,4/1/2016 00:04:09,4/1/2016 00:07:52,383,Greenwich Ave & Charles St,40.735238,-74.000271,253,W 13 St & 5 Ave,40.73543934,-73.99453948,21507,Subscriber,1982.0,1
1434,4/1/2016 00:04:22,4/1/2016 00:28:17,442,W 27 St & 7 Ave,40.746647,-73.993915,439,E 4 St & 2 Ave,40.7262807,-73.98978041,17438,Subscriber,1994.0,1
435,4/1/2016 00:04:32,4/1/2016 00:11:48,475,E 16 St & Irving Pl,40.73524276,-73.98758561,445,E 10 St & Avenue A,40.72740794,-73.98142006,20517,Subscriber,1995.0,2
181,4/1/2016 00:04:33,4/1/2016 00:07:34,307,Canal St & Rutgers St,40.71427487,-73.98990025,308,St James Pl & Oliver St,40.71307916,-73.99851193,18215,Subscriber,1988.0,1
1151,4/1/2016 00:04:34,4/1/2016 00:23:45,519,Pershing Square North,40.751873,-73.977706,3177,W 84 St & Broadway,40.7867947,-73.977112,15798,Subscriber,1987.0,1
813,4/1/2016 00:04:36,4/1/2016 00:18:09,326,E 11 St & 1 Ave,40.72953837,-73.98426726,446,W 24 St & 7 Ave,40.74487634,-73.99529885,20360,Subscriber,1981.0,1
819,4/1/2016 00:04:43,4/1/2016 00:18:23,326,E 11 St & 1 Ave,40.72953837,-73.98426726,446,W 24 St & 7 Ave,40.74487634,-73.99529885,21018,Subscriber,1986.0,2
1532,4/1/2016 00:05:06,4/1/2016 00:30:39,442,W 27 St & 7 Ave,40.746647,-73.993915,473,Rivington St & Chrystie St,40.72110063,-73.9919254,20545,Subscriber,1993.0,1
694,4/1/2016 00:05:13,4/1/2016 00:16:48,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,383,Greenwich Ave & Charles St,40.735238,-74.000271,15294,Customer,,0
684,4/1/2016 00:05:18,4/1/2016 00:16:43,223,W 13 St & 7 Ave,40.73781509,-73.99994661,401,Allen St & Rivington St,40.72019576,-73.98997825,17956,Subscriber,1999.0,1
130,4/1/2016 00:05:17,4/1/2016 00:07:28,508,W 46 St & 11 Ave,40.76341379,-73.99667444,478,11 Ave & W 41 St,40.76030096,-73.99884222,16287,Subscriber,1971.0,1
1053,4/1/2016 00:05:19,4/1/2016 00:22:52,3176,W 64 St & West End Ave,40.77452835,-73.98753759,164,E 47 St & 2 Ave,40.75323098,-73.97032517,17018,Customer,,0
960,4/1/2016 00:05:19,4/1/2016 00:21:19,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,477,W 41 St & 8 Ave,40.75640548,-73.9900262,20324,Subscriber,1973.0,1
769,4/1/2016 00:05:29,4/1/2016 00:18:18,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,495,W 47 St & 10 Ave,40.76269882,-73.99301222,17377,Subscriber,1974.0,1
348,4/1/2016 00:05:34,4/1/2016 00:11:23,527,E 33 St & 2 Ave,40.744023,-73.976056,491,E 24 St & Park Ave S,40.74096374,-73.98602213,21179,Subscriber,1963.0,1
330,4/1/2016 00:05:39,4/1/2016 00:11:10,335,Washington Pl & Broadway,40.72903917,-73.99404649,301,E 2 St & Avenue B,40.72217444,-73.98368779,14936,Subscriber,1986.0,1
1156,4/1/2016 00:05:41,4/1/2016 00:24:57,521,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,150,E 2 St & Avenue C,40.7208736,-73.98085795,15545,Subscriber,1968.0,2
1354,4/1/2016 00:05:52,4/1/2016 00:28:26,3143,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,167,E 39 St & 3 Ave,40.7489006,-73.97604882,15773,Customer,,0
412,4/1/2016 00:06:03,4/1/2016 00:12:56,487,E 20 St & FDR Drive,40.73314259,-73.97573881,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,16277,Subscriber,1973.0,1
415,4/1/2016 00:06:17,4/1/2016 00:13:12,301,E 2 St & Avenue B,40.72217444,-73.98368779,411,E 6 St & Avenue D,40.72228087,-73.97668709,19078,Subscriber,1973.0,2
937,4/1/2016 00:06:17,4/1/2016 00:21:55,3145,E 84 St & Park Ave,40.77862688,-73.95772073,3165,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,15013,Subscriber,1956.0,1
733,4/1/2016 00:06:57,4/1/2016 00:19:11,405,Washington St & Gansevoort St,40.739323,-74.008119,426,West St & Chambers St,40.71754834,-74.01322069,20833,Subscriber,1965.0,1
593,4/1/2016 00:06:58,4/1/2016 00:16:52,376,John St & William St,40.70862144,-74.00722156,291,Madison St & Montgomery St,40.713126,-73.984844,16587,Subscriber,1975.0,1
1802,4/1/2016 00:06:59,4/1/2016 00:37:01,445,E 10 St & Avenue A,40.72740794,-73.98142006,411,E 6 St & Avenue D,40.72228087,-73.97668709,21535,Subscriber,1968.0,1
663,4/1/2016 00:07:07,4/1/2016 00:18:11,478,11 Ave & W 41 St,40.76030096,-73.99884222,519,Pershing Square North,40.751873,-73.977706,17010,Subscriber,1977.0,1
295,4/1/2016 00:07:13,4/1/2016 00:12:08,483,E 12 St & 3 Ave,40.73223272,-73.98889957,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,21057,Subscriber,1995.0,1
293,4/1/2016 00:07:18,4/1/2016 00:12:11,483,E 12 St & 3 Ave,40.73223272,-73.98889957,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,17734,Subscriber,1994.0,2
269,4/1/2016 00:07:22,4/1/2016 00:11:52,3139,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,3156,E 72 St & York Ave,40.76663814,-73.95348296,21264,Subscriber,1966.0,1
268,4/1/2016 00:07:44,4/1/2016 00:12:13,498,Broadway & W 32 St,40.74854862,-73.98808416,540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,17116,Subscriber,1975.0,1
1682,4/1/2016 00:07:46,4/1/2016 00:35:49,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,15152,Subscriber,1990.0,1
1354,4/1/2016 00:08:00,4/1/2016 00:30:35,347,Greenwich St & W Houston St,40.728846,-74.008591,3246,Montague St & Clinton St,40.694281141397326,-73.99230033159256,21671,Subscriber,1983.0,1
544,4/1/2016 00:08:15,4/1/2016 00:17:19,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,411,E 6 St & Avenue D,40.72228087,-73.97668709,19164,Subscriber,1988.0,2
233,4/1/2016 00:08:16,4/1/2016 00:12:10,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,285,Broadway & E 14 St,40.73454567,-73.99074142,15685,Subscriber,1990.0,1
853,4/1/2016 00:08:24,4/1/2016 00:22:38,347,Greenwich St & W Houston St,40.728846,-74.008591,326,E 11 St & 1 Ave,40.72953837,-73.98426726,20812,Subscriber,1989.0,1
402,4/1/2016 00:08:32,4/1/2016 00:15:15,251,Mott St & Prince St,40.72317958,-73.99480012,307,Canal St & Rutgers St,40.71427487,-73.98990025,14633,Subscriber,1991.0,1
770,4/1/2016 00:08:37,4/1/2016 00:21:27,326,E 11 St & 1 Ave,40.72953837,-73.98426726,405,Washington St & Gansevoort St,40.739323,-74.008119,16724,Subscriber,1987.0,1
388,4/1/2016 00:08:42,4/1/2016 00:15:11,3117,Franklin St & Dupont St,40.73564,-73.95866,3096,Union Ave & N 12 St,40.71924,-73.95242,15601,Subscriber,1986.0,1
460,4/1/2016 00:08:46,4/1/2016 00:16:26,334,W 20 St & 7 Ave,40.74238787,-73.99726235,523,W 38 St & 8 Ave,40.75466591,-73.99138152,19841,Subscriber,1985.0,1
654,4/1/2016 00:09:08,4/1/2016 00:20:02,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,511,E 14 St & Avenue B,40.72938685,-73.97772429,19484,Subscriber,1968.0,2
354,4/1/2016 00:09:12,4/1/2016 00:15:06,350,Clinton St & Grand St,40.71559509,-73.9870295,332,Cherry St,40.71219906,-73.97948148,16951,Subscriber,1952.0,1
1108,4/1/2016 00:09:17,4/1/2016 00:27:46,494,W 26 St & 8 Ave,40.74734825,-73.99723551,480,W 53 St & 10 Ave,40.76669671,-73.99061728,16850,Subscriber,1986.0,1
1289,4/1/2016 00:09:18,4/1/2016 00:30:47,494,W 26 St & 8 Ave,40.74734825,-73.99723551,473,Rivington St & Chrystie St,40.72110063,-73.9919254,15797,Subscriber,1994.0,1
464,4/1/2016 00:09:26,4/1/2016 00:17:10,297,E 15 St & 3 Ave,40.734232,-73.986923,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,15990,Subscriber,1992.0,1
190,4/1/2016 00:09:29,4/1/2016 00:12:39,3068,Humboldt St & Varet St,40.7031724,-73.940636,3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,20063,Subscriber,1978.0,1
162,4/1/2016 00:09:46,4/1/2016 00:12:28,347,Greenwich St & W Houston St,40.728846,-74.008591,328,Watts St & Greenwich St,40.72405549,-74.00965965,20226,Subscriber,1981.0,1
363,4/1/2016 00:10:17,4/1/2016 00:16:20,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,282,Kent Ave & S 11 St,40.707644944175705,-73.96841526031494,18488,Subscriber,1985.0,1
851,4/1/2016 00:10:29,4/1/2016 00:24:40,441,E 52 St & 2 Ave,40.756014,-73.967416,492,W 33 St & 7 Ave,40.75019995,-73.99093085,19237,Subscriber,1964.0,1
1264,4/1/2016 00:11:00,4/1/2016 00:32:05,470,W 20 St & 8 Ave,40.74345335,-74.00004031,3167,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,15235,Subscriber,1953.0,1
91,4/1/2016 00:11:16,4/1/2016 00:12:48,3105,N 15 St & Wythe Ave,40.724055,-73.955736,3109,Banker St & Meserole Ave,40.72606,-73.95621,20286,Subscriber,1990.0,2
262,4/1/2016 00:11:28,4/1/2016 00:15:50,326,E 11 St & 1 Ave,40.72953837,-73.98426726,401,Allen St & Rivington St,40.72019576,-73.98997825,16415,Subscriber,1995.0,1
249,4/1/2016 00:11:31,4/1/2016 00:15:40,335,Washington Pl & Broadway,40.72903917,-73.99404649,151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,19690,Subscriber,1989.0,1
1130,4/1/2016 00:12:30,4/1/2016 00:31:20,532,S 5 Pl & S 4 St,40.710451,-73.960876,3229,Marcy Ave & MacDonough St,40.68061768455451,-73.94624948501587,23277,Subscriber,1993.0,1
841,4/1/2016 00:12:31,4/1/2016 00:26:32,311,Norfolk St & Broome St,40.7172274,-73.98802084,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,15095,Customer,,0
194,4/1/2016 00:12:32,4/1/2016 00:15:47,417,Barclay St & Church St,40.71291224,-74.01020234,3002,South End Ave & Liberty St,40.711512,-74.015756,16831,Subscriber,1986.0,1
330,4/1/2016 00:12:43,4/1/2016 00:18:14,439,E 4 St & 2 Ave,40.7262807,-73.98978041,402,Broadway & E 22 St,40.7403432,-73.98955109,21325,Subscriber,1980.0,1
606,4/1/2016 00:13:02,4/1/2016 00:23:08,361,Allen St & Hester St,40.71605866,-73.99190759,337,Old Slip & Front St,40.7037992,-74.00838676,18432,Subscriber,1985.0,1
400,4/1/2016 00:13:12,4/1/2016 00:19:53,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,466,W 25 St & 6 Ave,40.74395411,-73.99144871,18775,Subscriber,1969.0,1
601,4/1/2016 00:13:17,4/1/2016 00:23:18,439,E 4 St & 2 Ave,40.7262807,-73.98978041,432,E 7 St & Avenue A,40.72621788,-73.98379855,17394,Customer,,0
285,4/1/2016 00:13:24,4/1/2016 00:18:10,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,382,University Pl & E 14 St,40.73492695,-73.99200509,21125,Subscriber,1992.0,2
311,4/1/2016 00:13:28,4/1/2016 00:18:40,450,W 49 St & 8 Ave,40.76227205,-73.98788205,477,W 41 St & 8 Ave,40.75640548,-73.9900262,20211,Subscriber,1974.0,1
583,4/1/2016 00:13:39,4/1/2016 00:23:23,439,E 4 St & 2 Ave,40.7262807,-73.98978041,432,E 7 St & Avenue A,40.72621788,-73.98379855,17807,Customer,,0
1471,4/1/2016 00:13:44,4/1/2016 00:38:16,483,E 12 St & 3 Ave,40.73223272,-73.98889957,3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,15139,Subscriber,1994.0,1
814,4/1/2016 00:14:02,4/1/2016 00:27:37,3165,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,3157,East End Ave & E 86 St,40.77518615,-73.94446054,20599,Subscriber,1983.0,1
676,4/1/2016 00:14:03,4/1/2016 00:25:19,463,9 Ave & W 16 St,40.74206539,-74.00443172,329,Greenwich St & N Moore St,40.72043411,-74.01020609,18685,Subscriber,1976.0,1
1218,4/1/2016 00:14:12,4/1/2016 00:34:30,523,W 38 St & 8 Ave,40.75466591,-73.99138152,3156,E 72 St & York Ave,40.76663814,-73.95348296,19476,Subscriber,1973.0,1
807,4/1/2016 00:14:28,4/1/2016 00:27:56,326,E 11 St & 1 Ave,40.72953837,-73.98426726,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,21630,Subscriber,1977.0,1
842,4/1/2016 00:14:36,4/1/2016 00:28:39,263,Elizabeth St & Hester St,40.71729,-73.996375,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,21498,Subscriber,1955.0,1
1244,4/1/2016 00:14:35,4/1/2016 00:35:19,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,511,E 14 St & Avenue B,40.72938685,-73.97772429,14686,Customer,,0
1250,4/1/2016 00:15:07,4/1/2016 00:35:57,489,10 Ave & W 28 St,40.75066386,-74.00176802,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,21420,Subscriber,1984.0,1
937,4/1/2016 00:15:17,4/1/2016 00:30:54,494,W 26 St & 8 Ave,40.74734825,-73.99723551,473,Rivington St & Chrystie St,40.72110063,-73.9919254,21196,Customer,,0
692,4/1/2016 00:15:19,4/1/2016 00:26:52,446,W 24 St & 7 Ave,40.74487634,-73.99529885,347,Greenwich St & W Houston St,40.728846,-74.008591,15943,Subscriber,1983.0,1
492,4/1/2016 00:15:28,4/1/2016 00:23:41,519,Pershing Square North,40.751873,-73.977706,475,E 16 St & Irving Pl,40.73524276,-73.98758561,17118,Subscriber,1979.0,1
1322,4/1/2016 00:15:40,4/1/2016 00:37:43,280,E 10 St & 5 Ave,40.73331967,-73.99510132,3142,1 Ave & E 62 St,40.7612274,-73.96094022,16592,Subscriber,1950.0,1
133,4/1/2016 00:15:58,4/1/2016 00:18:11,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,471,Grand St & Havemeyer St,40.71286844,-73.95698119,18299,Subscriber,1990.0,1
1150,4/1/2016 00:16:13,4/1/2016 00:35:24,312,Allen St & Stanton St,40.722055,-73.989111,334,W 20 St & 7 Ave,40.74238787,-73.99726235,20948,Subscriber,1976.0,2
207,4/1/2016 00:16:31,4/1/2016 00:19:59,3244,University Pl & E 8 St,40.73143724085228,-73.99490341544151,483,E 12 St & 3 Ave,40.73223272,-73.98889957,21713,Subscriber,1997.0,1
757,4/1/2016 00:16:34,4/1/2016 00:29:12,320,Leonard St & Church St,40.717571,-74.005549,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,15676,Customer,,0
313,4/1/2016 00:16:33,4/1/2016 00:21:46,334,W 20 St & 7 Ave,40.74238787,-73.99726235,402,Broadway & E 22 St,40.7403432,-73.98955109,21444,Subscriber,1952.0,1
665,4/1/2016 00:17:17,4/1/2016 00:28:23,302,Avenue D & E 3 St,40.72082834,-73.97793172,361,Allen St & Hester St,40.71605866,-73.99190759,15828,Subscriber,1987.0,2
842,4/1/2016 00:17:39,4/1/2016 00:31:41,494,W 26 St & 8 Ave,40.74734825,-73.99723551,326,E 11 St & 1 Ave,40.72953837,-73.98426726,20067,Subscriber,1991.0,1
399,4/1/2016 00:17:48,4/1/2016 00:24:28,3122,48 Ave & 5 St,40.74436328706688,-73.9558732509613,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,20147,Subscriber,1990.0,1
507,4/1/2016 00:17:57,4/1/2016 00:26:25,347,Greenwich St & W Houston St,40.728846,-74.008591,212,W 16 St & The High Line,40.74334935,-74.00681753,18103,Subscriber,1980.0,1
355,4/1/2016 00:18:05,4/1/2016 00:24:00,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,262,Washington Park,40.6917823,-73.9737299,19488,Subscriber,1986.0,1
1796,4/1/2016 00:18:17,4/1/2016 00:48:13,311,Norfolk St & Broome St,40.7172274,-73.98802084,494,W 26 St & 8 Ave,40.74734825,-73.99723551,15580,Subscriber,1994.0,1
339,4/1/2016 00:18:42,4/1/2016 00:24:22,335,Washington Pl & Broadway,40.72903917,-73.99404649,297,E 15 St & 3 Ave,40.734232,-73.986923,19051,Subscriber,1996.0,1
311,4/1/2016 00:19:03,4/1/2016 00:24:14,445,E 10 St & Avenue A,40.72740794,-73.98142006,483,E 12 St & 3 Ave,40.73223272,-73.98889957,15302,Subscriber,1994.0,2
505,4/1/2016 00:19:33,4/1/2016 00:27:58,546,E 30 St & Park Ave S,40.74444921,-73.98303529,483,E 12 St & 3 Ave,40.73223272,-73.98889957,19489,Subscriber,1984.0,1
276,4/1/2016 00:19:55,4/1/2016 00:24:31,488,W 39 St & 9 Ave,40.75645824,-73.99372222,490,8 Ave & W 33 St,40.751551,-73.993934,21161,Subscriber,1962.0,1
1005,4/1/2016 00:20:12,4/1/2016 00:36:57,150,E 2 St & Avenue C,40.7208736,-73.98085795,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,18799,Subscriber,1982.0,1
546,4/1/2016 00:20:35,4/1/2016 00:29:42,225,W 14 St & The High Line,40.74195138,-74.00803013,508,W 46 St & 11 Ave,40.76341379,-73.99667444,19163,Subscriber,1977.0,1
414,4/1/2016 00:20:37,4/1/2016 00:27:32,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,23201,Customer,,0
397,4/1/2016 00:20:45,4/1/2016 00:27:23,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,17524,Customer,,0
371,4/1/2016 00:20:51,4/1/2016 00:27:03,505,6 Ave & W 33 St,40.74901271,-73.98848395,446,W 24 St & 7 Ave,40.74487634,-73.99529885,18208,Subscriber,1990.0,2
322,4/1/2016 00:21:04,4/1/2016 00:26:26,494,W 26 St & 8 Ave,40.74734825,-73.99723551,434,9 Ave & W 18 St,40.74317449,-74.00366443,15831,Subscriber,1983.0,1
791,4/1/2016 00:21:05,4/1/2016 00:34:17,459,W 20 St & 11 Ave,40.746745,-74.007756,3244,University Pl & E 8 St,40.73143724085228,-73.99490341544151,18880,Subscriber,1965.0,1
581,4/1/2016 00:21:17,4/1/2016 00:30:58,411,E 6 St & Avenue D,40.72228087,-73.97668709,326,E 11 St & 1 Ave,40.72953837,-73.98426726,16866,Subscriber,1982.0,1
570,4/1/2016 00:21:37,4/1/2016 00:31:07,167,E 39 St & 3 Ave,40.7489006,-73.97604882,3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,14945,Subscriber,1987.0,1
91,4/1/2016 00:21:39,4/1/2016 00:23:11,308,St James Pl & Oliver St,40.71307916,-73.99851193,82,St James Pl & Pearl St,40.71117416,-74.00016545,18215,Subscriber,1974.0,2
993,4/1/2016 00:21:45,4/1/2016 00:38:18,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,441,E 52 St & 2 Ave,40.756014,-73.967416,19802,Subscriber,1985.0,1
331,4/1/2016 00:21:49,4/1/2016 00:27:20,477,W 41 St & 8 Ave,40.75640548,-73.9900262,505,6 Ave & W 33 St,40.74901271,-73.98848395,21073,Subscriber,1982.0,2
719,4/1/2016 00:21:51,4/1/2016 00:33:50,473,Rivington St & Chrystie St,40.72110063,-73.9919254,507,E 25 St & 2 Ave,40.73912601,-73.97973776,18615,Subscriber,1990.0,1
319,4/1/2016 00:21:53,4/1/2016 00:27:12,462,W 22 St & 10 Ave,40.74691959,-74.00451887,116,W 17 St & 8 Ave,40.74177603,-74.00149746,19316,Subscriber,1956.0,1
582,4/1/2016 00:21:57,4/1/2016 00:31:40,486,Broadway & W 29 St,40.7462009,-73.98855723,483,E 12 St & 3 Ave,40.73223272,-73.98889957,20209,Subscriber,1975.0,1
450,4/1/2016 00:22:06,4/1/2016 00:29:37,455,1 Ave & E 44 St,40.75001986,-73.96905301,305,E 58 St & 3 Ave,40.76095756,-73.96724467,17298,Subscriber,1965.0,1
656,4/1/2016 00:22:17,4/1/2016 00:33:14,494,W 26 St & 8 Ave,40.74734825,-73.99723551,3244,University Pl & E 8 St,40.73143724085228,-73.99490341544151,17139,Subscriber,1980.0,1
549,4/1/2016 00:22:18,4/1/2016 00:31:28,521,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,528,2 Ave & E 31 St,40.74290902,-73.97706058,15064,Subscriber,1992.0,1
260,4/1/2016 00:22:19,4/1/2016 00:26:40,311,Norfolk St & Broome St,40.7172274,-73.98802084,332,Cherry St,40.71219906,-73.97948148,15761,Subscriber,1947.0,1
486,4/1/2016 00:22:27,4/1/2016 00:30:34,280,E 10 St & 5 Ave,40.73331967,-73.99510132,368,Carmine St & 6 Ave,40.73038599,-74.00214988,17073,Subscriber,1973.0,1
222,4/1/2016 00:22:28,4/1/2016 00:26:11,150,E 2 St & Avenue C,40.7208736,-73.98085795,312,Allen St & Stanton St,40.722055,-73.989111,20167,Subscriber,1977.0,1
942,4/1/2016 00:22:29,4/1/2016 00:38:12,174,E 25 St & 1 Ave,40.7381765,-73.97738662,340,Madison St & Clinton St,40.71269042,-73.98776323,14976,Subscriber,1985.0,1
261,4/1/2016 00:22:32,4/1/2016 00:26:54,477,W 41 St & 8 Ave,40.75640548,-73.9900262,450,W 49 St & 8 Ave,40.76227205,-73.98788205,23444,Subscriber,1986.0,1
163,4/1/2016 00:23:01,4/1/2016 00:25:44,474,5 Ave & E 29 St,40.7451677,-73.98683077,402,Broadway & E 22 St,40.7403432,-73.98955109,21679,Subscriber,1967.0,1
